,BUILDING TYPE,TOTAL KWH,PREDICTION
19520,1,107315.0,15903.000000020525
19521,1,90044.0,14215.000000123699
19522,1,190115.0,27405.00000015692
19523,1,171020.0,25835.00000012001
19524,1,134523.0,14104.999999999789
19525,1,118251.0,12150.00000000115
19526,1,93741.0,7278.99999990805
19527,1,113896.0,9591.999999977732
19528,1,143358.0,13343.999999966185
19529,1,136521.0,13137.9999999596
19530,1,144407.0,13093.000000057866
19531,1,67369.0,6559.00000008682
19532,1,110642.0,13457.000000072352
19533,1,132025.0,16579.000000115007
19534,1,100389.0,12997.000000058477
19535,1,77764.0,10993.000000060336
19536,1,70633.0,9996.999999972977
19537,1,133673.0,18906.000000123422
19538,1,104014.0,12043.000000069074
19539,1,109352.0,13521.000000115124
19540,1,99395.0,14981.000000111058
19541,1,27820.0,4119.000000039203
19542,1,211573.0,29709.0000000836
19544,1,102408.0,12206.999999989857
19545,1,68055.0,10453.000000014476
19546,1,122521.0,17068.00000007016
19547,1,117287.0,18179.000000108437
19548,1,74028.0,11722.000000132379
19549,1,33506.0,5820.000000022683
19550,1,68840.0,11729.00000005494
19551,1,88579.0,15142.00000012685
19552,1,66251.0,10564.000000058426
19553,1,127729.0,21321.000000196982
19554,1,125531.0,19547.000000202617
19555,1,37702.0,6945.000000005282
19556,1,56854.0,8660.99999999996
19557,1,44253.0,6791.000000015172
19558,1,46037.0,7103.999999959857
19559,1,48789.0,7281.000000007165
19560,1,59770.0,10121.00000008535
19561,1,24900.0,3449.9999999430584
19562,1,99933.0,17179.000000184635
19563,1,19674.0,3271.999999972373
19564,1,47005.0,5675.000000005844
19565,1,113376.0,13573.000000057218
19568,1,59778.0,7459.000000030717
19569,1,89734.0,12225.000000077005
19571,1,69534.0,9197.999999888987
19572,1,89148.0,11053.000000127784
19573,1,81973.0,12649.000000082957
19575,1,89529.0,13978.00000006529
19576,1,79534.0,11210.000000082022
19578,1,127373.0,19642.00000017171
19582,1,99085.0,13338.000000082347
19583,1,183828.0,24448.00000031747
19584,1,108275.0,16634.000000170832
